year,country,party,vote,seat,family,lrgen,galtan,country_name,econ_ideology,social_ideology
2002,2,SD,29.1,29.1,5,4.0,4.38,Denmark,-0.2,-0.12400000000000003
2002,2,KF,9.1,8.8999996,2,7.0,7.23,Denmark,0.4,0.44600000000000006
2002,2,RV,5.2,5.0,3,5.08,2.54,Denmark,0.016000000000000014,-0.492
2006,2,RV,9.2,9.5,3,4.78,2.0,Denmark,-0.04399999999999995,-0.6
2006,2,DF,13.2,13.4,1,7.67,7.63,Denmark,0.534,0.526
2006,2,SF,6.0,6.0999999,6,2.33,2.13,Denmark,-0.534,-0.5740000000000001
2006,2,EL,3.4,3.4000001,6,1.0,1.63,Denmark,-0.8,-0.674
2006,2,KF,10.3,10.1,2,7.11,6.75,Denmark,0.42200000000000004,0.35
2006,2,V,29.0,29.1,3,7.22,4.88,Denmark,0.44399999999999995,-0.02400000000000002
2006,2,SD,25.8,26.299999,5,4.11,4.13,Denmark,-0.17799999999999994,-0.17400000000000002
2010,2,LA,2.8,2.8,3,8.199999809265137,3.111111164093018,Denmark,0.6399999618530273,-0.3777777671813964
2010,2,V,26.2,25.700001,3,7.0,5.900000095367432,Denmark,0.4,0.18000001907348634
2010,2,SD,25.5,25.1,5,4.181818008422852,5.0,Denmark,-0.1636363983154297,0.0
2010,2,SF,13.0,12.8,6,2.818181753158569,2.400000095367432,Denmark,-0.4363636493682862,-0.5199999809265136
2010,2,RV,5.1,5.0,3,5.181818008422852,1.5,Denmark,0.03636360168457031,-0.7
2010,2,DF,13.9,14.0,1,7.818181991577148,9.399999618530272,Denmark,0.5636363983154297,0.8799999237060543
2010,2,EL,2.2,2.2,6,1.0,1.700000047683716,Denmark,-0.8,-0.6599999904632569
2010,2,KF,10.4,10.1,2,7.545454978942871,6.699999809265137,Denmark,0.5090909957885742,0.33999996185302733
2014,2,LA,4.9,5.0,3,7.900000095367432,2.555555582046509,Denmark,0.5800000190734863,-0.48888888359069826
2014,2,SD,24.5,24.6,5,4.400000095367432,5.199999809265137,Denmark,-0.11999998092651368,0.039999961853027344
