econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
0.0,1.0,0.0,0.0,0.8300000000000001,2,2,3,1
0.5,-0.027605152675140604,0.6666666666666666,0.6666666666666666,0.97,2,6,1,1
0.5,-0.9173191336444684,1.0,1.0,0.97,1,6,1,1
0.0,-0.19886559285846872,-0.6666666666666666,0.6666666666666666,0.92,2,5,3,1
-1.0,-1.0,0.0,0.0,0.44999999999999996,2,4,1,4
-0.5,0.13766320329865514,-1.0,1.0,0.97,1,6,2,1
-1.0,0.0809112849286907,-1.0,1.0,0.97,2,5,1,1
-1.0,0.949980041636933,-0.3333333333333333,0.3333333333333333,0.78,1,2,3,1
0.5,0.3570767448851924,0.3333333333333333,0.3333333333333333,0.31,1,3,1,2
-1.0,-0.279668198614796,-1.0,1.0,0.97,2,5,1,2
-0.5,-0.13657736371597934,-1.0,1.0,0.97,1,3,1,3
0.5,1.0,-0.6666666666666666,0.6666666666666666,0.97,1,1,1,2
0.0,-0.8908726038106467,0.0,0.0,0.41,2,5,4,2
-1.0,0.11293788299698561,-1.0,1.0,0.97,2,4,1,2
-1.0,0.7715360087872899,0.0,0.0,0.44999999999999996,1,1,1,3
0.0,-1.0,-0.3333333333333333,0.3333333333333333,0.97,1,6,3,2
-0.5,-1.0,-1.0,1.0,0.97,1,5,3,2
1.0,0.9401895682586204,1.0,1.0,0.37,1,2,1,2
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.95,2,6,5,2
0.5,-0.5959227903798651,1.0,1.0,0.97,1,3,1,4
0.5,-0.44291872403366706,0.6666666666666666,0.6666666666666666,0.97,2,5,1,2
-1.0,-0.03422381915435559,-1.0,1.0,0.97,1,3,1,4
1.0,-0.540847745105599,1.0,1.0,0.97,2,4,1,4
1.0,0.22519180867778835,0.3333333333333333,0.3333333333333333,0.97,1,4,1,2
0.0,-0.6736796195484139,-0.6666666666666666,0.6666666666666666,0.97,1,5,4,2
0.5,-0.24252303999552088,1.0,1.0,0.57,1,2,1,4
-1.0,-0.13100513407257555,-0.3333333333333333,0.3333333333333333,0.79,1,3,3,2
1.0,-1.0,0.3333333333333333,0.3333333333333333,0.97,1,5,1,4
0.5,0.06554000105953672,1.0,1.0,0.97,1,2,1,4
-0.5,-0.055857916780982675,0.0,0.0,0.78,1,4,2,1
1.0,1.0,-1.0,1.0,0.97,1,2,1,1
0.5,-1.0,1.0,1.0,0.97,2,5,1,2
0.0,-0.455046545170022,0.0,0.0,0.76,2,3,1,2
1.0,-1.0,0.0,0.0,0.42,2,6,1,3
0.0,-0.7964243184627581,0.3333333333333333,0.3333333333333333,0.97,2,5,1,2
-1.0,-0.986844208452122,-1.0,1.0,0.9,2,5,4,2
0.0,0.32501351085631197,0.0,0.0,0.44999999999999996,1,2,1,2
1.0,-1.0,0.3333333333333333,0.3333333333333333,0.9600000000000001,1,5,1,4
0.0,1.0,-0.6666666666666666,0.6666666666666666,0.88,2,4,1,1
0.0,0.20551612332969496,-0.6666666666666666,0.6666666666666666,0.97,2,3,1,2
-0.5,-1.0,-1.0,1.0,0.97,2,6,1,4
0.0,0.01544142808312918,0.0,0.0,0.43,1,5,1,2
1.0,-1.0,0.3333333333333333,0.3333333333333333,0.97,2,6,4,2
-0.5,1.0,0.0,0.0,0.37,1,2,6,1
0.0,1.0,0.0,0.0,0.29,2,2,1,2
-1.0,-1.0,-1.0,1.0,0.9500000000000001,1,3,1,2
0.0,-0.056120164838381656,0.6666666666666666,0.6666666666666666,0.5299999999999999,2,3,1,3
1.0,-1.0,1.0,1.0,0.97,1,6,1,4
0.0,1.0,0.0,0.0,0.44999999999999996,2,2,2,1
0.0,-0.16448267997752852,0.0,0.0,0.93,1,2,1,4
0.5,-0.06088375828551633,0.3333333333333333,0.3333333333333333,0.97,2,4,1,3
-1.0,-0.1843123750572018,-1.0,1.0,0.97,2,5,4,1
0.0,0.8431783099318911,0.0,0.0,0.26,2,2,3,1
0.0,-0.03519725373776773,-1.0,1.0,0.97,2,2,2,4
-1.0,0.14512620375672053,-0.6666666666666666,0.6666666666666666,0.88,1,5,1,1
1.0,-1.0,1.0,1.0,0.97,1,5,1,4
-1.0,-1.0,-1.0,1.0,0.9600000000000001,2,5,1,2
-1.0,1.0,-0.3333333333333333,0.3333333333333333,0.77,3,2,1,2
0.5,-0.8245112894535465,0.6666666666666666,0.6666666666666666,0.5299999999999999,1,4,1,3
0.5,0.34505247288157026,1.0,1.0,0.97,2,3,1,2
1.0,-0.7561897601096662,1.0,1.0,0.9500000000000001,2,5,1,2
-1.0,0.2828949855674898,-0.3333333333333333,0.3333333333333333,0.31,2,3,3,3
0.0,1.0,0.0,0.0,0.91,2,1,1,3
1.0,0.7217168429478403,0.0,0.0,0.93,1,3,1,2
0.0,0.10208901117693826,-0.6666666666666666,0.6666666666666666,0.44999999999999996,1,2,5,2
-1.0,-0.249516162475445,-1.0,1.0,0.97,2,2,1,3
-1.0,0.6297725951631361,0.0,0.0,0.36,2,3,3,1
